mapped_taxid	genome_taxids:kmers_mapped:total_genome_kmers
477974	477974:1842390:2349377 
35237	536466:63:182702 504346:157:46773 1777052:413:48934 1542477:3:197262 444878:266:174093 444876:31318:45791 1797140:295:70713 1536592:9:34674 268748:489:45077 1527515:45:36745 756277:4:46138 869662:380:175331 1349410:20:2473771 51677:141:178634 536474:6606:178708 869724:272:171112 880161:17:183996 880162:10413:193923 382359:315:177201 310539:48:37752 696472:99886:184142 755272:30:205523 1349409:130:1908425 1873985:41:47465 536444:91:177112 187984:15:127842 113370:117:156728 929835:48:37194 1493509:127:178918 1493508:140:172589 347327:94:49540 1784982:35:50410 1293572:150:281083 642926:1443:191600 12657:32:184340 687803:324:174208 416419:67:42172 1732178:138:49543 1732177:192:59860 445688:158:182081 1663210:1406:193202 1675866:37:105050 1269028:14:1021249 1493512:267:174786 382273:31845:46099 445693:99:47642 1580591:147:46639 50292:29:452091 1346829:21:150979 754038:213:171308 208013:33:155023 445685:1265:176085 445684:1840:175131 445683:94:179464 1663209:16120:182210 979525:56:125857 754039:564:171670 382262:18:44846 1580580:2:148882 1327964:94:88036 756276:1784:45772 10401:18:134127 10397:16:195729 1340812:107:170339 1079998:104:175944 1079999:250:172780 754040:35850:45629 10493:69:105804 489830:19:169695 1663208:66334:196201 1449437:563:45327 1273711:805:46448 326036:70:43166 444859:2014:173980 1567011:1540:35604 1567013:2214:36613 1567012:217:42059 204440:152:158383 1567014:311:46796 1785753:1308:186614 754051:101:47453 260797:879:186163 754059:1254:44048 1351702:178:48645 889955:20737:38228 889954:21012:38735 889951:35936:45631 444860:135:190690 444862:236:176329 39640:21:564681 1137745:61:161341 648017:70:44362 754064:116165:186369 51313:224:130660 
498761	498761:2367014:3075308 
35238	35238:9446:11561 
1925153	1925153:1672:2692 
999288	999288:1511:2683 
101764	101764:7040:8558 
392021	392021:680:1257611 
172045	172045:1891166:8635332 
1603555	1603555:1268801:1620057 
439015	439015:7379:9137 
439014	439014:2988:4319 
351348	475662:70:4052931 351348:2188794:4779465 
762660	762660:130751:167575 
1685744	1685744:1288:1722 
1685745	1685745:1381:1832 
1685746	1685746:1481:2202 
1685747	1685747:1312:1533 
1685740	1685740:3290:4202 
1685741	1685741:1515:1864 
1458706	1458706:2131:60275 
1685743	1685743:1870:2579 
435488	435488:752:1251 
1498212	1498212:72890:159393 
1685749	1685749:1189:1561 
354276	13690:70:5532534 1334193:19651:4702850 573:548:628984566 1333849:3143857:4959492 2033032:140:5099110 550:47613647:114926790 575:5473:5889394 54291:720:40091732 59201:1074:49753078 1211025:382792:4726483 475662:70:4052931 1870930:2092318:5276500 548:905:26624894 61645:1469504:9836483 1045856:2073879:4797893 640513:116352:5011835 301102:8062484:14940260 301105:930236:5063338 636:409:7340572 29484:1213:9934511 562:70:1357174161 1354030:2089338:5369768 701347:19754:4813950 2033033:120:4615500 208224:442148:4927280 299767:2690183:4952507 299766:8925774:15294158 1812934:2669214:4678368 1296536:2801336:4661750 1571470:70:6284241 1333850:2776776:5502289 1333851:3124063:5060893 716541:247829:5598468 2018067:24:6499265 1104326:177333:4968149 1421338:444502:4561806 1915310:1154421:5388432 1812935:2080730:4899799 47917:531:18051200 358:70:16868268 
272951	272951:129237:1249891 
1923149	1923149:8988:11832 
1923148	1923148:6719:8842 
1923147	1923147:7254:9059 
1923146	1923146:6577:8783 
1923145	1923145:6856:8710 
1923144	1923144:7245:8551 
1923143	1923143:7456:9388 
1923142	1923142:6418:8648 
1923141	1923141:7661:8936 
1923140	1923140:6712:9046 
1685755	1685755:4781:6281 
1590370	1590370:24461:31150 
1679933	1679933:4058:5219 
1384461	1384461:21637:27936 
652620	652620:3142:1282988 
869209	869209:2247844:2897227 
712122	712122:2946294:3836320 
382359	382359:136786:177201 
1922818	1922818:2864:3595 
1922819	1922819:3068:3830 
401472	455432:209:8918341 401472:1755367:2326464 853:70:2868833 
82996	768492:25:5442781 1006598:2595252:5513985 82996:5654109:10985386 29484:490:9934511 2033033:70:4615500 575:144:5889394 682634:1736091:5403502 47917:1093:18051200 548:69:26624894 2018067:70:6499265 1154756:316314:5474586 1348660:2578015:5467207 
1922812	1922812:2117:2952 
1922813	1922813:2382:2916 
1922810	1922810:2804:3692 
1922811	1922811:3205:3985 
1922816	1922816:3037:3509 
441772	441772:4568:4012654 
441771	441771:4236:3760461 
441770	441770:44855:3863351 
1250539	1571470:98:6284241 475662:70:4052931 1250539:3887366:5258181 1851544:70:4848002 1616117:80:9611775 1411902:2353:3956004 358:70:16868268 
43657	43657:14415729:18665983 
1227812	1227812:6823:3507014 
